player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,base_targets,declined_penalties,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Danny Scudero,170781,WR,S JOSE ST,12,12.6,18,56.4,39.1,9,23,0,11.1,11,45,285,2,58.7,44.8,74.3,,75.0,0.0,0,5,72,0.0,0,535,0,88,94.8,507,89.5,479,91.8,156,10,8.8,47,1299,479,5.4,14.8,2.56,156,0,14.5,4,54.0,33.3,3,9,12.9,4,18,0,54.4,89.1,1,50,0.0,0,124,27,93.5,116,121.3,50,43.1,6,516,162,6.0,19.1,4.45,0,11.9,11,57.1,50.0,6,12,6.4,3,19,1,73.6,68.7,4,72,0.0,0,289,44,94.5,273,74.6,77,28.2,3,620,265,6.0,14.1,2.27
Jacob De Jesus,174068,WR,CAL,12,7.7,12,69.0,41.2,7,17,0,7.5,8,44,130,1,72.2,64.8,71.0,61.9,74.0,1.3,6,4,38,0.2,1,480,0,98,94.0,451,56.9,273,85.8,142,5,37.7,181,893,434,4.4,9.1,1.98,142,0,10.6,2,66.7,20.0,1,5,4.0,1,17,0,77.8,82.4,1,30,0.0,0,125,24,87.2,109,105.6,36,33.0,3,274,79,3.3,11.4,2.51,0,7.2,7,67.8,55.6,5,9,10.6,7,20,0,59.9,64.2,3,25,0.4,1,283,59,96.5,273,70.9,87,31.9,1,477,251,4.3,8.1,1.75
Skyler Bell,145163,WR,UCONN,12,8.3,15,72.3,65.0,13,20,0,3.8,4,50,146,2,87.0,44.9,81.8,,85.2,0.0,0,1,80,0.0,0,432,0,102,94.4,408,36.6,158,128.0,141,13,60.9,263,1282,835,8.2,12.6,3.14,141,0,11.3,4,58.7,50.0,3,6,6.9,2,16,0,70.0,81.0,0,80,0.0,0,121,27,90.9,110,125.1,46,41.8,6,381,242,9.0,14.1,3.46,0,6.6,11,79.2,70.0,7,10,0.0,0,24,1,93.3,80.0,1,80,0.0,0,242,61,95.9,232,114.1,77,33.2,3,736,512,8.4,12.1,3.17
Easton Messer,163051,WR,FAU,12,6.6,21,77.2,68.8,11,16,0,5.4,6,50,165,2,80.8,57.1,75.4,78.7,75.4,0.0,0,3,55,0.4,2,553,0,105,93.7,518,93.5,517,104.4,136,6,5.2,29,1059,558,5.3,10.1,2.04,136,0,6.2,4,79.4,50.0,1,2,3.6,1,18,0,78.9,76.1,0,44,0.0,0,124,27,93.5,116,127.3,34,29.3,3,255,138,5.1,9.4,2.2,0,6.8,13,72.8,72.7,8,11,7.8,5,23,1,69.3,69.1,2,55,0.6,2,325,59,95.4,310,90.0,81,26.1,2,569,296,5.0,9.6,1.84
Ted Hurst,187922,WR,GA STATE,12,12.6,18,57.3,59.3,16,27,0,9.0,7,49,175,0,67.1,75.5,82.0,,82.1,0.0,0,7,70,0.0,0,442,0,71,93.4,413,16.3,72,76.0,124,6,83.7,370,999,374,5.3,14.1,2.42,124,0,14.0,2,40.0,70.0,7,10,17.6,3,10,0,45.6,71.7,3,52,0.0,0,106,14,94.3,100,50.3,35,35.0,3,185,58,4.1,13.2,1.85,0,11.8,15,67.2,62.5,5,8,4.7,2,26,0,78.1,80.6,3,70,0.0,0,215,41,93.0,200,89.3,61,30.5,2,597,253,6.2,14.6,2.99
Corey Rucker,121539,WR,ARK STATE,12,12.1,18,59.3,43.3,13,30,0,9.5,7,41,113,1,59.7,54.2,63.9,,65.9,0.0,0,3,55,0.0,0,543,0,67,94.5,513,16.9,92,81.1,113,3,83.1,451,863,335,5.0,12.9,1.68,113,0,11.8,2,51.7,40.0,4,10,6.3,1,10,0,69.9,64.4,1,34,0.0,0,119,15,91.6,109,66.5,29,26.6,1,168,83,5.5,11.2,1.54,0,13.0,11,63.3,53.8,7,13,9.5,4,21,1,56.9,64.5,2,55,0.0,0,316,38,94.9,300,81.4,60,20.0,1,502,188,4.9,13.2,1.67
Malachi Toney,200155,WR,MIAMI FL,13,6.4,27,79.5,66.7,6,9,0,0.0,0,49,220,1,95.5,74.8,88.5,79.8,89.7,1.7,7,3,61,0.5,2,404,0,89,92.6,374,81.9,331,116.2,112,8,12.6,51,992,649,7.3,11.1,2.65,112,0,10.8,4,62.5,66.7,4,6,0.0,0,13,0,84.7,86.3,0,40,1.2,1,84,15,88.1,74,131.9,24,32.4,5,220,102,6.8,14.7,2.97,0,5.5,20,84.0,50.0,1,2,0.0,0,32,1,93.9,84.7,2,56,0.4,1,285,68,94.0,268,103.8,81,30.2,3,681,458,6.7,10.0,2.54
Lewis Bond,143817,WR,BOSTON COL,12,8.1,16,79.3,80.0,8,10,0,3.3,3,50,121,0,87.9,58.6,74.5,0.0,77.0,0.0,0,2,54,0.2,1,494,0,88,96.0,474,62.6,309,99.4,111,1,36.6,181,993,423,4.8,11.3,2.09,111,0,9.8,5,74.1,80.0,4,5,4.8,1,16,0,74.4,76.1,0,27,0.8,1,131,20,93.1,122,103.5,27,22.1,0,257,91,4.6,12.9,2.11,0,8.2,10,82.4,80.0,4,5,1.6,1,31,0,90.4,76.5,2,54,0.0,0,301,61,97.3,293,97.4,74,25.3,1,666,273,4.5,10.9,2.27
Iverson Hooks,163020,WR,UAB,12,11.8,16,66.1,58.8,10,17,0,6.5,5,46,321,1,75.1,62.1,82.3,,82.9,0.0,0,1,51,0.0,0,381,0,72,93.4,356,65.1,248,110.1,109,7,34.6,132,927,301,4.2,12.9,2.6,109,0,13.6,2,52.0,55.6,5,9,7.1,1,11,1,68.7,79.6,0,31,0.0,0,79,13,83.5,66,118.3,25,37.9,3,200,58,4.5,15.4,3.03,0,11.7,12,69.7,62.5,5,8,6.1,3,27,0,74.2,76.9,1,48,0.0,0,236,46,97.0,229,98.7,66,28.8,2,550,170,3.7,12.0,2.4
Makai Lemon,174150,WR,USC,12,10.4,21,72.5,66.7,10,15,0,2.5,2,50,326,1,90.0,71.0,90.8,61.9,91.4,0.5,2,4,74,0.2,1,401,0,79,92.0,369,70.6,283,125.0,109,11,27.9,112,1156,502,6.4,14.6,3.13,109,0,9.1,6,71.4,60.0,3,5,0.0,0,12,0,85.9,81.3,2,62,0.9,1,110,20,87.3,96,118.5,28,29.2,5,316,169,8.5,15.8,3.29,0,11.2,12,72.6,66.7,4,6,4.3,2,27,1,80.3,88.1,2,74,0.0,0,233,45,93.6,218,105.1,62,28.4,2,673,248,5.5,15.0,3.09
